activ	provin	anio
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2016
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
9	TUNGURAHUA	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2015
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2016
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	AZUAY	2017
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2017
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2015
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
A	BOLIVAR	2016
